symbol1,symbol2,correlation
لکما,وتعاون3,0.8977042095184766
لکما,ورازی,0.8324032213236802
لکما,ولشرق,0.7197100256873615
لکما,ولشرق3,0.7197100256873615
لکما,ومعلم,0.8826567059533817
لکما,وملل,0.7569612558489455
لکما,وپویا,0.8940807591458853
لکما,کرمان,0.9061759775747885
لکما,کیسون,0.9107029679493693
لکما,گکوثر,0.8464424967109136
مادیرا,نوین,0.7519098752498392
مادیرا,وآرین,0.8288090518584169
مادیرا,وتعاون,0.7381385473709704
مادیرا,وتعاون3,0.7381385473709704
مادیرا,ومعلم,0.9095090137450506
مادیرا,وپویا,0.8371618860717741
مادیرا,کرمان,0.9320707205709154
مادیرا,کیسون,0.7910570120728734
مادیرا,گکوثر,0.8934146914419583
موج,کیسون,0.861322585698399
میهن,میهن3,1.0
میهن,وشهر,0.8179629378812685
میهن3,وشهر,0.8179339196625365
نشان,وآرین,0.8170019589455613
نشان,پاداش,0.9967886541087079
نوین,وآرین,0.9093877341244676
نوین,وتعاون,0.9012030871740623
نوین,وتعاون3,0.9012030871740623
نوین,ورازی,0.7320095629573293
نوین,ولشرق,0.730945423164348
نوین,ولشرق3,0.730945423164348
نوین,ومعلم,0.825714602747667
نوین,وملل,0.8626041928155719
نوین,کرمان,0.7198764827607324
نوین,کیسون,0.9085768763666167
وآرین,وتعاون,0.8585053031505246
وآرین,وتعاون3,0.8585053031505246
وآرین,ولشرق,0.7933251715615262
وآرین,ولشرق3,0.7933251715615262
وآرین,ومعلم,0.8764968672529493
وآرین,وملل,0.768709833941778
وآرین,وپویا,0.7840058070101723
وآرین,پاداش,0.8254126216912422
وآرین,کرمان,0.7788424050887485
وآرین,کیسون,0.8703133697393155
وآرین,گکوثر,0.7246156701084231
وتعاون,وتعاون3,1.0
وتعاون,ورازی,0.7983192293179474
وتعاون,ولشرق,0.8047818427330253
وتعاون,ولشرق3,0.8047818427330253
وتعاون,ومعلم,0.7569250207653552
وتعاون,وملل,0.86917362587135
وتعاون,وپویا,0.7804455700105966
وتعاون,کرمان,0.7959845124048573
وتعاون,کیسون,0.8901435518092555
وتعاون3,ورازی,0.7983192293179474
وتعاون3,ولشرق,0.8047818427330253
وتعاون3,ولشرق3,0.8047818427330253
وتعاون3,ومعلم,0.7569250207653552
وتعاون3,وملل,0.86917362587135
وتعاون3,وپویا,0.7804455700105966
وتعاون3,کرمان,0.7959845124048573
وتعاون3,کیسون,0.8901435518092555
ورازی,وملل,0.7084355004469572
ورازی,وپویا,0.9001739756839627
ورازی,کرمان,0.7227442243612989
ورازی,کیسون,0.8419861450559669
ولشرق,ولشرق3,1.0
ولشرق,وپویا,0.7309546021615017
ولشرق,کیسون,0.7581839270421762
ولشرق3,وپویا,0.7309546021615017
ولشرق3,کیسون,0.7581839270421762
ومعلم,وپویا,0.7613691435239176
ومعلم,کرمان,0.8432246590483388
ومعلم,کیسون,0.8655164012645568
ومعلم,گکوثر,0.8782925475001321
وملل,وپویا,0.7723737818432953
وملل,کیسون,0.8551300774095019
وپویا,کرمان,0.8476901974797147
وپویا,کیسون,0.8651917489210816
وپویا,گکوثر,0.8088160992285489
کرمان,کیسون,0.7896935205716206
کرمان,گکوثر,0.8340677730604176
کیسون,گکوثر,0.8087029692046486
