symbol,volatility,VaR_95,VaR_99,max_drawdown,sharpe_ratio,sortino_ratio,annual_return
شگامرن,0.05650699379978466,-0.03483017843563067,-0.06002061038776743,-0.9813973517063193,0.9214875710482259,0.6010607184786898,0.8265934422232779
بایکا,0.16761755939794873,-0.030523559446246677,-0.09159275974911371,-0.9652987012987012,0.9203471427459314,2.072287426118745,2.4489022574698303
شکبیر,0.03511500682818823,-0.03554079477019767,-0.09974735875057417,-0.4258688957325118,0.9180309908741908,1.0880369664474678,0.5117411843982801
زشگزا,0.039142379525721555,-0.04712081738137652,-0.06288165545025866,-0.9782620846650644,0.9116844883851105,0.9955481425274301,0.5664897544676706
لوازم مادیران062,0.018575520119879656,-0.02535764086143677,-0.045067603140396505,-0.07408497694043768,0.9107948882970931,0.7913422371616687,0.26857268310876137
کهرام,0.03421905079315233,-0.03953345258073541,-0.06116703708082913,-0.8108215258385911,0.9075362664537051,1.4355629649996913,0.4929833116508125
پتروداریوش,0.015298157207564743,-0.027740831801622182,-0.03800703370242986,-0.18794688457609832,0.8989569012258379,1.3409150099880265,0.21831232795431094
بمیلا,0.03739028415602286,-0.04584757489172825,-0.08704293442953681,-0.9148608283708454,0.8927675984767722,1.2634888133432003,0.5299043149728261
دشیری,0.03491274427450306,-0.04563312318663059,-0.09324099339069812,-0.7331109574573175,0.891669804266252,1.3063041810839293,0.4941835872423469
کایتا,0.1126379575174194,-0.06770456573077932,-0.12375492866776687,-0.9177733920522609,0.8775507138979544,1.8504653803847355,1.569123985295926
شرانل,0.02619274449104587,-0.03497409326424872,-0.053541524367350005,-0.5654302979787454,0.8729399508355443,1.029957666352111,0.36296575029214495
کصدف,0.04823408473925699,-0.04446359070252873,-0.12438608756644,-0.8708910891089107,0.8725967506606909,0.8932010399485327,0.6681406632661037
هم وزن,0.019332648791016815,-0.027884660944362455,-0.04508699550606582,-0.31882447990304863,0.8176320082582421,1.2728867591329094,0.2509282260859124
تشتاد,0.039699663394014206,-0.05330487122060471,-0.09991914190540588,-0.8520249221183797,0.8152718427915704,1.1209834738181792,0.5137946031131798
سلار,0.05085122424041145,-0.04111576886268992,-0.10395767195767193,-0.9801450083658674,0.8145534692901988,0.8723406423076231,0.6575386431359614
سدبیر,0.03829277190821294,-0.054321446935551326,-0.0716732542819499,-0.8527338076103439,0.8132717865151193,1.2641873301466753,0.4943707662119032
زبینا,0.039791021121961014,-0.048726347320739063,-0.06722030529847069,-0.9775628356855542,0.8095928767127001,0.8855517527541893,0.5113897663605718
آینده,0.050090531555397146,-0.04761904761904767,-0.09105625696853552,-0.84095742992286,0.8088033968123574,1.5830780164639204,0.6431301611115084
فلات,0.0349230023121625,-0.04543181818181814,-0.09549308508053835,-0.7904583723105709,0.808190401563587,1.2605584432195325,0.4480490195984686
معیار,0.06818834635549507,-0.03403021684006213,-0.07594787905829006,-0.9646624203821657,0.7934053628074523,1.1305676350645792,0.8588267449904111
حسیر3,0.0348136540850837,-0.048068435553326384,-0.06412790065968178,-0.762995594713656,0.7913633138945699,1.0583246857164634,0.4373466391622234
حسیر,0.0348136540850837,-0.048068435553326384,-0.06412790065968178,-0.762995594713656,0.7913633138945699,1.0583246857164634,0.4373466391622234
شمواد,0.04943455885509967,-0.0499780549132299,-0.10158336939689287,-0.9842285323297981,0.774147806829724,0.8204536282624002,0.6075119444096965
فماک,0.04343686575289068,-0.05038973114661186,-0.09126702617265585,-0.7678452301534355,0.7738197656932164,0.9021638538350373,0.5335788045644542
کمینا,0.0642256865434343,-0.038223542999905824,-0.06214723006351447,-0.9046563192904654,0.7737604731413553,1.1853805818592489,0.7888883927955244
گکیش,0.035393742511891764,-0.038894461185850465,-0.09098181818181822,-0.9287284778059842,0.7563665287224652,0.9344961627410113,0.424970769592349
خکاوه,0.03340849906204564,-0.04303202969587245,-0.07392626059794735,-0.7857475547275264,0.7553242761335449,1.2217848724655023,0.4005813060128293
زماهان,0.038382407890732675,-0.049887786235456,-0.07071135586529004,-0.8927571028411365,0.7551856517066632,0.992379368969227,0.46013600409993505
واحیا,0.03891326417129424,-0.0367900940588165,-0.06829950937179685,-0.9789077123376032,0.7528592311769957,0.7566288505506507,0.4650629184273524
فلزفارابی,0.015991659622196158,-0.021200713619326673,-0.03853761383124501,-0.26860655737705025,0.7402409669376815,1.3020476887542498,0.1879173693880552
ثجوان,0.03324356841516161,-0.0390868811404354,-0.052413855682793976,-0.8049280039721943,0.7362395640339815,1.0350631752675252,0.3885322361974731
اتکاسا3,0.2531720116718644,-0.03306238855894912,-0.044741066470142365,-0.725678733031674,0.7359857873006559,5.131517282656595,2.957912962284036
اتکاسا,0.2531720116718644,-0.03306238855894912,-0.044741066470142365,-0.725678733031674,0.7359857873006559,5.131517282656595,2.957912962284036
