symbol,final_value,total_return,num_trades,status
ودانا,27792.94208072202,1.7792942080722018,340.0,
کصدف,48852.7706717773,3.8852770671777304,1324.0,
بتک,10000.0,0.0,0.0,
فسدید,82046.97194108949,7.204697194108949,1247.0,
داراب,149344.77040070065,13.934477040070066,1440.0,
کایتا,27918.78432051195,1.791878432051195,1129.0,
پشاهن,66409.45571438738,5.640945571438738,563.0,
شستان,118800.10510749102,10.880010510749102,1294.0,
زگلدشت,97922.71112280984,8.792271112280984,1928.0,
غگلستا,367350.39722551417,35.73503972255142,1843.0,
رویش,10000.0,0.0,0.0,
شگامرن,10000.0,0.0,0.0,
آتی1,,,,insufficient_data
حسیر,96570.95189829066,8.657095189829066,1679.0,
حسیر3,96570.95189829066,8.657095189829066,1679.0,
غگز,38293.98628290068,2.8293986282900683,410.0,
غگلپا,26736.975772764046,1.6736975772764047,1522.0,
وبرق,42616.54538772527,3.261654538772527,1336.0,
دقاضی,10000.0,0.0,0.0,
اوان,69533.6070975901,5.95336070975901,1612.0,
گکوثر,56581.26923977237,4.658126923977237,1451.0,
ریشمک,11051.509514237348,0.10515095142373476,281.0,
ولشرق,187325.22876486287,17.732522876486286,1717.0,
ولشرق3,187325.22876486287,17.732522876486286,1717.0,
حآسا,194387.71215353237,18.43877121535324,1679.0,
خعمرا,47068.93316090153,3.706893316090153,612.0,
زشگزا,118034.50408670714,10.803450408670713,1595.0,
وحکمت,271115.34713184135,26.111534713184135,1301.0,
تبرک,362624.24777099525,35.262424777099525,1560.0,
فماک,53288.98992916997,4.328898992916997,535.0,
غویتا,28049.782548973213,1.8049782548973212,1488.0,
کمینا,23305.659001580974,1.3305659001580974,506.0,
زبینا,1087400.702187519,107.74007021875191,1479.0,
زقیام,134096.37926149025,12.409637926149024,1458.0,
غپونه,17781.746226305513,0.7781746226305513,1449.0,
اوصتا,10000.0,0.0,0.0,
خکرمان,104627.9759262289,9.46279759262289,1181.0,
نطرین,28636.441053380517,1.8636441053380515,1458.0,
نطرین3,28636.441053380517,1.8636441053380515,1458.0,
تاپکیش,29388.98097768086,1.938898097768086,1397.0,
داوه,232435.92352504408,22.243592352504407,1362.0,
کگهر,21629.343629343628,1.162934362934363,1218.0,
مادیرا,43793.27921823693,3.379327921823693,883.0,
زکشت,59615.88211687895,4.961588211687895,1310.0,
زدشت,15044.255565067579,0.5044255565067579,1313.0,
آسامید,10000.0,0.0,0.0,
